Date,Open,High,Low,Close,Volume
2023-10-24,80.45,83.32,80.44,82.87,17925847.0
2023-10-25,81.3,82.0,80.78,81.03,11390178.0
2023-10-26,81.265,83.09,81.2,82.51,13010368.0
2023-10-27,83.87,84.12,82.48,82.82,10795598.0
2023-10-30,83.63,84.24,83.0112,83.14,8980455.0
2023-10-31,81.94,82.54,80.88,82.54,12094312.0
2023-11-01,81.705,82.49,81.21,82.48,9549988.0
2023-11-02,83.65,83.98,83.03,83.41,10606319.0
2023-11-03,84.94,86.08,84.5,85.31,15148303.0
2023-11-06,86.55,86.72,85.23,85.36,9786396.0
2023-11-07,84.86,85.66,84.11,85.41,8829376.0
2023-11-08,84.62,85.73,84.48,84.8,8154582.0
2023-11-09,84.58,84.69,82.475,82.73,10885073.0
2023-11-10,82.41,82.87,81.66,82.75,9797571.0
2023-11-13,82.75,83.315,82.08,82.26,11236852.0
2023-11-14,82.76,84.535,82.32,83.87,20897615.0
2023-11-15,86.96,87.83,85.89,87.07,28991019.0
2023-11-16,79.52,80.77,78.2305,79.11,63008526.0
2023-11-17,77.02,78.4658,76.75,77.6,35580411.0
2023-11-20,76.91,78.745,76.56,78.46,31564894.0
2023-11-21,77.85,79.275,77.6,78.94,20525451.0
2023-11-22,79.28,79.71,78.13,78.96,18982123.0
2023-11-24,78.27,79.07,78.21,78.49,12251659.0
2023-11-27,77.555,79.25,77.09,77.53,18248172.0
2023-11-28,76.56,76.84,75.26,76.74,23682173.0
2023-11-29,75.0,75.456,74.425,74.67,30969099.0
2023-11-30,74.7,74.94,74.01,74.88,17884211.0
2023-12-01,73.12,74.14,72.12,73.99,27998595.0
2023-12-04,72.67,73.58,72.48,73.03,21074948.0
2023-12-05,72.04,72.7,71.92,72.38,19128982.0
2023-12-06,72.36,72.95,71.49,71.49,29654783.0
2023-12-07,71.545,72.37,71.44,72.33,18966685.0
2023-12-08,72.02,72.44,71.83,72.14,16914758.0
2023-12-11,70.49,71.61,70.08,71.37,19719315.0
2023-12-12,71.38,71.955,70.93,71.39,14725908.0
2023-12-13,70.91,71.48,70.12,71.46,21721644.0
2023-12-14,71.47,73.24,71.42,72.51,25199289.0
2023-12-15,74.0,75.545,73.32,74.51,31327519.0
2023-12-18,74.05,74.23,73.21,73.84,17233510.0
2023-12-19,74.4,76.01,74.22,75.39,20757565.0
2023-12-20,74.58,75.295,73.33,73.35,27540228.0
2023-12-21,74.86,76.29,74.35,76.26,20812090.0
2023-12-22,74.5,75.68,74.44,75.28,20004348.0
2023-12-26,76.16,76.9687,75.73,75.85,13121280.0
